swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
177,19.789519293129306,9.698125937031485,39.91187850019861,46.87714737353737,1.007596810800913,1.3684689798637428,0.8042144897354387
178,19.791226410634113,9.7039980009995,39.90528066457619,46.87544025603256,1.008400913114892,1.3715060803053165,0.8051378816573286
179,19.792256858534294,9.706346826586705,39.9036822515795,46.87440980813238,1.008925349119097,1.373033181891972,0.8048333611853866
180,19.79281038387931,9.708445777111443,39.90115418060805,46.87385628278736,1.0087429961488668,1.3735800545120422,0.8018345910109533
181,19.79335836469629,9.709745127436284,39.90020392162791,46.87330830197038,1.0090104740034744,1.374557459489602,0.8035080718424307
182,19.793661939683975,9.710169915042478,39.90026579720265,46.8730047269827,1.0094462998651572,1.3755747690976798,0.8045537667326642
183,19.793743054643528,9.710569715142428,39.89971145017566,46.87292361202314,1.0094087542850607,1.3761249039218308,0.8058680654873561
184,19.794373523209238,9.711044477761119,39.90065239826447,46.87229314345743,1.0101414988809154,1.3759704473586367,0.8076586933881782
185,19.79479182274747,9.712293853073463,39.89941352275612,46.8718748439192,1.0104897187859283,1.3759509123789608,0.8088647778875121
186,19.794850028501827,9.712568715642178,39.89903971222794,46.871816638164844,1.0106254533076997,1.3759876195338412,0.808344067454626
187,19.795097834645812,9.713493253373313,39.897938107482595,46.871568832020856,1.0108870524174933,1.376343337593065,0.80898235945517
188,19.795307255966307,9.714117941029484,39.89731948275651,46.871359410700364,1.0110155510124132,1.3766362893371695,0.8096074155945835
189,19.79537258237142,9.714467766116941,39.89681751538186,46.87129408429525,1.0111500538206761,1.3771891827803908,0.8095692203932083
190,19.79541209321823,9.71471764117941,39.8964375574633,46.87125457344844,1.0110745138343389,1.377351125885114,0.809482260706474
191,19.79546881126306,9.714692653673163,39.896657197355495,46.87119785540361,1.0110040319778177,1.377052939662331,0.8093937755822562
192,19.795416116667838,9.714792603698152,39.896300127559485,46.871250549998834,1.0109309856807238,1.3769893985326749,0.8093813992568669
193,19.795389572538266,9.714742628685658,39.89632030489106,46.8712770941284,1.0108798341787448,1.3769493006737865,0.8092974460588086
194,19.79536428206784,9.714617691154423,39.89649371185327,46.871302384598835,1.0108913656745933,1.3769930158072612,0.809242589473066
195,19.79537015878943,9.714592703648176,39.89656113221481,46.87129650787724,1.010888947921663,1.3770031175998563,0.8092313295428193
196,19.795369561763838,9.714592703648176,39.896559344713026,46.87129710490284,1.0108891919878145,1.3770031175998563,0.8092315556616669
